epoch,acc,loss,lr,val_acc,val_loss
0,0.0018074598798678181,9.114401402773883,0.001,0.0015884318343649011,9.418276907835223
0,0.0017892027093641028,9.429556257982929,0.001,0.0013693377882456044,7.992263575676805
1,0.0020448030964161173,7.426374406704709,0.001,0.0016979788574245495,9.09103798917202
2,0.003651434100743067,7.111544841851464,0.001,0.0029029961110806812,7.514806952933306
3,0.004326949409380534,6.983907037229393,0.001,0.002245713972722791,7.864132645109655
4,0.005367608128092308,6.916168094266793,0.001,0.002410034507312264,7.584185006878766
0,0.0020082887554086866,7.402933363007095,0.001,0.0013693377882456044,7.494544639666802
1,0.00575100870867033,6.580030428425864,0.001,0.002245713972722791,10.183513003606985
2,0.011374217223814653,6.264742130773816,0.001,0.004217560387796462,10.364296667846288
3,0.022511091231081005,5.886847239763103,0.0005,0.005313030618392945,10.252875314952705
4,0.034487795081858334,5.603699924472546,0.0005,0.007887385660294682,10.05527555051257
5,0.0589706607273406,5.223540246962212,0.00025,0.013857698417045516,10.357956572352595
6,0.07901703394042003,4.974780884053367,0.00025,0.008161253217943802,10.517280142415801
7,0.11021853833126954,4.64880685562689,0.000125,0.01665114750506655,10.804885092521802
8,0.1287860807338881,4.470569875039964,0.000125,0.014514980555403408,10.923308371087185
9,0.15681083745777127,4.246336183664107,6.25e-05,0.018842087966259517,10.856406547626621
10,0.16928048491289704,4.135174942589437,6.25e-05,0.017637070712603384,10.99805672677903
11,0.18823142789466535,4.002593864756552,3.125e-05,0.018294352850961274,10.948143228523675
12,0.19880232961529634,3.936454293334943,3.125e-05,0.017746617735867082,10.976379986888524
13,0.20763880014120298,3.8669216444190555,1.5625e-05,0.018020485293312155,11.01665823991258
14,0.21464955361462967,3.8321470498337886,1.5625e-05,0.018951634989319167,11.075781419568798
15,0.22171507859983955,3.787035717710053,7.8125e-06,0.017910938270252506,11.053490858333438
0,0.002775089916564731,8.223211983932895,0.001,0.0018622993922180692,9.771605586342217
1,0.007960126339619886,7.024759194985555,0.001,0.0046009749725861755,9.240462477682401
2,0.015116937177076297,6.679837303625809,0.001,0.0034507312263789233,10.09855906642227
3,0.023825607507348513,6.530845751746807,0.001,0.005203483595333297,10.118719963474486
4,0.055739141548523045,5.947015027655307,0.0005,0.008435120775592924,9.22555517530026
5,0.08432987055666114,5.583898157116931,0.0005,0.007832612148764857,11.90870014738526
6,0.1152027458791239,5.2754256692534325,0.0005,0.018787314454729694,11.838232690117776
7,0.20928194548436094,4.598558905743944,0.00025,0.022128498658253015,11.663587194247281
8,0.27624924689443725,4.150737044866661,0.00025,0.021964178123459493,11.725098427097997
9,0.3994121191100524,3.543802177455734,0.000125,0.021964178123459493,12.008940357704077
10,0.4602450112319686,3.2262456115126628,0.000125,0.020540066823684068,12.382804994718422
0,0.0030124331331130303,8.221261475761034,0.001,0.0019718464150736705,11.46834118285145
0,0.003125,9.13689079284668,0.003125,12.953277111053467
1,0.003125,8.978343772888184,0.0,11.882651138305665
2,0.003125,8.83668327331543,0.0,11.472110080718995
3,0.00625,8.722296333312988,0.0,10.813905334472656
4,0.0,8.810519313812256,0.0,11.015192222595214
5,0.0,8.630750274658203,0.0,10.995486736297607
0,0.0011867160827414968,7.576868607233403,0.001,0.0008216026729473627,16.452049574847027
0,0.003125,9.169018173217774,0.001,0.0,12.837355709075927
1,0.0,8.918613624572753,0.001,0.003125,13.030824947357178
2,0.0,8.84183874130249,0.001,0.0,12.601771831512451
0,0.0012962591057637887,7.614384278588943,0.001,0.0008763761844771868,16.452415822140846
1,0.0016431453453343802,7.099614964658359,0.001,0.0007668291614175385,16.220530633904975
2,0.0015701166633195188,7.0635659789433145,0.001,0.0008763761844771868,16.222207454115782
3,0.0018987457323863947,6.912226635963201,0.001,0.0008763761844771868,16.17973152436869
4,0.0014970879813046574,6.890324476656561,0.001,0.0009859232075368353,16.19345915335165
5,0.00191700290289011,6.866622344143384,0.001,0.0008763761844771868,16.021630639084957
6,0.0020995746079272635,6.883817930008965,0.001,0.0008763761844771868,16.170775032764315
7,0.0022638891428007676,6.853975236813061,0.001,0.0008763761844771868,16.13690091480122
8,0.002355174994979278,6.838630717961116,0.001,0.0009859232075368353,16.210814369399323
9,0.0019717744144012563,6.838147052611115,0.0005,0.0009859232075368353,16.203393476897514
10,0.0021543461194384094,6.819514349492282,0.0005,0.0008763761844771868,16.05869505740651
0,0.0036149197597356362,8.198415844962758,0.001,0.0019170729035438462,10.316983922037034
1,0.008288755408686762,7.002247291243039,0.001,0.0032316371802596265,9.567884521402886
2,0.015555109269845597,6.694312753427166,0.001,0.0041080133647368134,10.38707735797443
3,0.02296752049367389,6.568774287192632,0.001,0.007065782987347319,9.29251982535382
4,0.034761652639074,6.373462807883406,0.001,0.007887385660498729,10.623018419807227
5,0.05128439194527644,6.145874311561258,0.001,0.005696445199101715,11.091627804271988
6,0.06866521826481344,5.944342406372847,0.001,0.006737141918168374,12.59151793610144
7,0.08299709711233838,5.789562040876777,0.0005,0.014350660020813935,11.00739583171471
8,0.09320285542180684,5.672319544958507,0.0005,0.015062715670701648,11.00873323914751
9,0.10598287477440758,5.564577269784404,0.0005,0.005422577641452594,12.984279283526797
10,0.11746663502090446,5.4661043691301705,0.00025,0.011009475817698707,11.86521713970172
11,0.12619356252236053,5.3769806373453,0.00025,0.014241112997754286,12.202277353926844
